feature_set,feature_count,accuracy,precision,recall,f1,roc_auc,baseline_accuracy,baseline_improvement
All 15 Features,15,0.5033112582781457,0.5306122448979592,0.6419753086419753,0.5810055865921788,0.47354497354497355,0.5364238410596026,-0.0331125827814569
Top 10 Features,10,0.5099337748344371,0.5353535353535354,0.654320987654321,0.5888888888888889,0.4516754850088184,0.5364238410596026,-0.026490066225165476
Top 7 Features,7,0.5298013245033113,0.5454545454545454,0.7407407407407407,0.6282722513089005,0.47389770723104063,0.5364238410596026,-0.0066225165562913135
Top 5 Features,5,0.5496688741721855,0.5619047619047619,0.7283950617283951,0.6344086021505376,0.5507936507936507,0.5364238410596026,0.013245033112582849
Bottom 10 Features,10,0.543046357615894,0.5714285714285714,0.5925925925925926,0.5818181818181818,0.5165784832451499,0.5364238410596026,0.0066225165562914245
