Model,Accuracy,Precision,Recall,F1,ROC-AUC,Fold Mean Accuracy,Fold Std,Fold Min Accuracy,Fold Max Accuracy,vs Baseline
Extra Trees,0.5761589403973509,0.5825242718446602,0.7407407407407407,0.6521739130434783,0.5384479717813051,0.5767741935483871,0.06945803774926124,0.4838709677419355,0.7,0.039735099337748325
Gradient Boosting,0.5629139072847682,0.5728155339805825,0.7283950617283951,0.6413043478260869,0.5352733686067019,0.5634408602150537,0.042486046759708324,0.4838709677419355,0.6,0.026490066225165587
Random Forest,0.5496688741721855,0.5619047619047619,0.7283950617283951,0.6344086021505376,0.5507936507936507,0.5494623655913979,0.0696721091830248,0.4666666666666667,0.6333333333333333,0.013245033112582849
Hist Gradient Boosting,0.5298013245033113,0.5471698113207547,0.7160493827160493,0.6203208556149733,0.4943562610229277,0.5294623655913978,0.04202416870088662,0.4666666666666667,0.5806451612903226,-0.0066225165562913135
Logistic Regression,0.4900662251655629,0.532258064516129,0.4074074074074074,0.46153846153846156,0.4444444444444444,0.48989247311827955,0.04660567839731396,0.4,0.5333333333333333,-0.046357615894039694
