n_estimators,max_depth,min_samples_split,accuracy,precision,recall,f1,roc_auc,fold_mean_accuracy,fold_std_accuracy,fold_min_accuracy,fold_max_accuracy,vs_baseline
300,15.0,10,0.5960264900662252,0.6020408163265306,0.7283950617283951,0.659217877094972,0.5430335097001764,0.5963440860215055,0.07503681603034772,0.5,0.7,0.0596026490066226
200,,5,0.5960264900662252,0.5961538461538461,0.7654320987654321,0.6702702702702703,0.535978835978836,0.5963440860215055,0.07201443824350645,0.5333333333333333,0.7333333333333333,0.0596026490066226
100,,2,0.5894039735099338,0.5904761904761905,0.7654320987654321,0.6666666666666666,0.5673721340388008,0.5898924731182796,0.07727465569639065,0.5161290322580645,0.7333333333333333,0.052980132450331174
300,,2,0.5894039735099338,0.5904761904761905,0.7654320987654321,0.6666666666666666,0.558641975308642,0.5898924731182796,0.09051847676147644,0.5161290322580645,0.7666666666666667,0.052980132450331174
200,15.0,5,0.5894039735099338,0.594059405940594,0.7407407407407407,0.6593406593406593,0.5583774250440917,0.5896774193548387,0.09179445889978022,0.5,0.7666666666666667,0.052980132450331174
300,15.0,5,0.5894039735099338,0.594059405940594,0.7407407407407407,0.6593406593406593,0.553615520282187,0.5896774193548387,0.07876547760587255,0.5,0.7333333333333333,0.052980132450331174
200,,10,0.5894039735099338,0.5979381443298969,0.7160493827160493,0.651685393258427,0.54673721340388,0.5901075268817204,0.08653449191583619,0.4838709677419355,0.7333333333333333,0.052980132450331174
200,,2,0.5827814569536424,0.5849056603773585,0.7654320987654321,0.6631016042780749,0.5578483245149912,0.5832258064516129,0.09317215159236457,0.5161290322580645,0.7666666666666667,0.04635761589403975
200,15.0,10,0.5827814569536424,0.5918367346938775,0.7160493827160493,0.6480446927374302,0.5425044091710759,0.5832258064516129,0.08827321758869826,0.5,0.7333333333333333,0.04635761589403975
300,15.0,2,0.5827814569536424,0.5865384615384616,0.7530864197530864,0.6594594594594595,0.5417989417989418,0.5832258064516129,0.09317215159236457,0.5161290322580645,0.7666666666666667,0.04635761589403975
100,,10,0.5827814569536424,0.59,0.7283950617283951,0.6519337016574586,0.539153439153439,0.583010752688172,0.07317960742425413,0.5,0.7,0.04635761589403975
300,,5,0.5827814569536424,0.5865384615384616,0.7530864197530864,0.6594594594594595,0.5354497354497355,0.5832258064516129,0.09782606360903752,0.5,0.7666666666666667,0.04635761589403975
300,10.0,5,0.5827814569536424,0.5849056603773585,0.7654320987654321,0.6631016042780749,0.5354497354497354,0.5832258064516129,0.06508921099465037,0.5161290322580645,0.7,0.04635761589403975
300,,10,0.5761589403973509,0.5841584158415841,0.7283950617283951,0.6483516483516484,0.5502645502645501,0.5765591397849462,0.09050263671134337,0.4666666666666667,0.7,0.039735099337748325
200,5.0,2,0.5761589403973509,0.5841584158415841,0.7283950617283951,0.6483516483516484,0.5386243386243387,0.5767741935483872,0.051011731844307906,0.4838709677419355,0.6333333333333333,0.039735099337748325
200,10.0,5,0.5761589403973509,0.5825242718446602,0.7407407407407407,0.6521739130434783,0.5384479717813051,0.5767741935483871,0.06945803774926124,0.4838709677419355,0.7,0.039735099337748325
100,8.0,5,0.5761589403973509,0.5825242718446602,0.7407407407407407,0.6521739130434783,0.5282186948853616,0.5763440860215053,0.03614566949241206,0.5333333333333333,0.6333333333333333,0.039735099337748325
100,,5,0.5695364238410596,0.5769230769230769,0.7407407407407407,0.6486486486486487,0.5451499118165785,0.5698924731182796,0.1035501177849763,0.4666666666666667,0.7666666666666667,0.03311258278145701
200,8.0,5,0.5695364238410596,0.58,0.7160493827160493,0.6408839779005525,0.5412698412698412,0.5698924731182795,0.056276738868975905,0.5161290322580645,0.6666666666666666,0.03311258278145701
100,8.0,10,0.5695364238410596,0.5851063829787234,0.6790123456790124,0.6285714285714286,0.5403880070546736,0.5696774193548387,0.058233128343536195,0.4666666666666667,0.6333333333333333,0.03311258278145701
200,8.0,10,0.5695364238410596,0.5816326530612245,0.7037037037037037,0.6368715083798883,0.535626102292769,0.5698924731182795,0.04282216720804274,0.5161290322580645,0.6333333333333333,0.03311258278145701
100,15.0,10,0.5695364238410596,0.58,0.7160493827160493,0.6408839779005525,0.5352733686067019,0.5698924731182796,0.09916520561363026,0.4666666666666667,0.7333333333333333,0.03311258278145701
300,8.0,10,0.5695364238410596,0.5816326530612245,0.7037037037037037,0.6368715083798883,0.5328042328042328,0.5698924731182795,0.06009588823015555,0.5,0.6666666666666666,0.03311258278145701
