fold,train_size,test_size,raw_accuracy,calibrated_accuracy,raw_brier,calibrated_brier,raw_log_loss,calibrated_log_loss,raw_auc,calibrated_auc
1,150,21,0.6666666666666666,0.5238095238095238,0.26086707223791317,0.26094433002805056,0.7196877720337611,0.7162123783647563,0.6111111111111112,0.6111111111111112
2,171,21,0.6190476190476191,0.6190476190476191,0.25438399197370876,0.24105975434875124,0.7033883039254867,0.6746903425773731,0.5,0.5833333333333334
3,192,21,0.6190476190476191,0.6190476190476191,0.21507815907652547,0.22189684061214793,0.62011029890646,0.635521726648719,0.7037037037037037,0.7222222222222222
4,213,21,0.5714285714285714,0.7142857142857143,0.24938806562807908,0.24314519524896724,0.6927792346753316,0.6798957141306671,0.5925925925925927,0.5925925925925927
5,234,21,0.5238095238095238,0.47619047619047616,0.26088061658871986,0.25711687438918474,0.7230095453506791,0.7080068855866013,0.5818181818181818,0.4727272727272727
6,255,21,0.6190476190476191,0.6190476190476191,0.23436274134733945,0.2330010750127511,0.6643657186749026,0.6590211236664071,0.6203703703703703,0.6851851851851852
7,276,25,0.48,0.48,0.26966228500790107,0.2580419084912821,0.7338295647368248,0.7094843884512045,0.3846153846153847,0.3333333333333333
